GAME_ID,GAME_DATE_EST,REAL_GAME_ID,GAME_STATUS_TEXT,HOME_TEAM_ID,Initials,nickname,VISITOR_TEAM_ID,SEASON,TEAM_ID_home,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,TEAM_ID_away,nickname_away,Initials_away,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
22000061,12/30/20,12/30/20_Clippers_Trail Blazers,Final,1610612746,LAC,Clippers,1610612757,2020,1610612746,128,0.495,0.727,0.474,30,47,1610612757,Trail Blazers,POR,105,0.421,0.853,0.316,14,41,1
22000057,12/30/20,12/30/20_Nets_Hawks,Final,1610612751,BKN,Nets,1610612737,2020,1610612751,145,0.54,0.783,0.463,30,40,1610612737,Hawks,ATL,141,0.475,0.829,0.391,27,54,1
22000058,12/30/20,12/30/20_Heat_Bucks,Final,1610612748,MIA,Heat,1610612749,2020,1610612748,119,0.488,0.828,0.385,25,52,1610612749,Bucks,MIL,108,0.392,0.923,0.39,26,47,1
22000060,12/30/20,12/30/20_Spurs_Lakers,Final,1610612759,SAS,Spurs,1610612747,2020,1610612759,107,0.46,0.739,0.417,25,39,1610612747,Lakers,LAL,121,0.561,0.75,0.538,25,47,0
22000061,12/30/20,12/30/20_Clippers_Trail Blazers,Final,1610612746,LAC,Clippers,1610612757,2020,1610612746,128,0.495,0.727,0.474,30,47,1610612757,Trail Blazers,POR,105,0.421,0.853,0.316,14,41,1
22000062,12/31/20,12/31/20_Pacers_Cavaliers,Final,1610612754,IND,Pacers,1610612739,2020,1610612754,119,0.483,0.792,0.457,28,44,1610612739,Cavaliers,CLE,99,0.451,0.542,0.522,22,43,1
22000063,12/31/20,12/31/20_Wizards_Bulls,Final,1610612764,WAS,Wizards,1610612741,2020,1610612764,130,0.5,0.78,0.483,27,37,1610612741,Bulls,CHI,133,0.543,0.76,0.389,34,44,0
22000064,12/31/20,12/31/20_Magic_76ers,Final,1610612753,ORL,Magic,1610612755,2020,1610612753,92,0.347,0.905,0.25,17,48,1610612755,76ers,PHI,116,0.484,0.867,0.455,23,54,0
22000065,12/31/20,12/31/20_Rockets_Kings,Final,1610612745,HOU,Rockets,1610612758,2020,1610612745,122,0.523,0.76,0.361,26,45,1610612758,Kings,SAC,119,0.469,0.75,0.333,23,45,1
22000066,12/31/20,12/31/20_Raptors_Knicks,Final,1610612761,TOR,Raptors,1610612752,2020,1610612761,100,0.41,0.714,0.327,21,53,1610612752,Knicks,NYK,83,0.364,0.8,0.083,21,48,1
22000067,12/31/20,12/31/20_Thunder_Pelicans,Final,1610612760,OKC,Thunder,1610612740,2020,1610612760,80,0.375,0.333,0.313,24,40,1610612740,Pelicans,NOP,113,0.484,0.632,0.361,23,58,0
22000068,12/31/20,12/31/20_Jazz_Suns,Final,1610612762,UTA,Jazz,1610612756,2020,1610612762,95,0.417,0.684,0.353,16,46,1610612756,Suns,PHX,106,0.488,0.7,0.515,26,41,0
