NUMBER,PLAYER,,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
16,James Johnson,James Johnson,PF,7-Jun,240,2/20/87,US,11,Wake Forest
21,James Nunnally,James Nunnally,SF,7-Jun,208,7/14/90,US,2,UC Santa Barbara
33,James Wiseman,James Wiseman,C,Jul-00,240,3/31/01,US,R,Memphis
0,JaMychal Green,JaMychal Green,PF,8-Jun,227,6/21/90,US,6,Alabama
10,Jared Dudley,Jared Dudley,PF,6-Jun,237,7/10/85,US,13,Boston College
13,Jaren Jackson Jr.,Jaren Jackson Jr.,C,11-Jun,242,9/15/99,US,2,Michigan State
8,Jarred Vanderbilt,Jarred Vanderbilt,PF,9-Jun,214,4/3/99,US,2,Kentucky
5,Jarrell Brantley,Jarrell Brantley,PF,5-Jun,250,6/7/96,US,1,College of Charleston
31,Jarrett Allen,Jarrett Allen,C,11-Jun,243,4/21/98,US,3,Texas
23,Jarrett Culver,Jarrett Culver,SG,6-Jun,195,2/20/99,US,1,Texas Tech
34,JaVale McGee,JaVale McGee,C,Jul-00,270,1/19/88,US,12,Nevada
11,Javonte Green,Javonte Green,PG,4-Jun,205,7/23/93,US,1,Radford
10,Jaxson Hayes,Jaxson Hayes,C,11-Jun,220,5/23/00,US,1,Texas
0,Jay Scrubb,Jay Scrubb,SG,5-Jun,220,9/1/00,US,R,John A. Logan College
7,Jaylen Brown,Jaylen Brown,SG,6-Jun,223,10/24/96,US,4,California
8,Jaylen Hoard,Jaylen Hoard,SF,8-Jun,216,3/30/99,FR,1,Wake Forest
4,Jaylen Nowell,Jaylen Nowell,SG,4-Jun,201,7/9/99,US,1,Washington
0,Jayson Tatum,Jayson Tatum,SF,8-Jun,210,3/3/98,US,3,Duke
8,Jeff Green,Jeff Green,C,8-Jun,235,8/28/86,US,12,Georgetown
5,Jeff Teague,Jeff Teague,PG,3-Jun,195,6/10/88,US,11,Wake Forest
9,Jerami Grant,Jerami Grant,SF,8-Jun,210,3/12/94,US,6,Syracuse
3,Jeremiah Martin,Jeremiah Martin,PG,3-Jun,185,6/19/96,US,1,Memphis
26,Jeremy Lamb,Jeremy Lamb,SG,5-Jun,180,5/30/92,US,8,UConn
4,Jevon Carter,Jevon Carter,PG,1-Jun,200,9/14/95,US,2,West Virginia
22,Jimmy Butler,Jimmy Butler,SF,7-Jun,230,9/14/89,US,9,Marquette
12,Joe Harris,Joe Harris,SF,6-Jun,220,9/6/91,US,6,Virginia
2,Joe Ingles,Joe Ingles,SF,8-Jun,220,10/2/87,AU,6,
21,Joel Embiid,Joel Embiid,C,Jul-00,280,3/16/94,CM,4,Kansas
20,John Collins,John Collins,PF,9-Jun,235,9/23/97,US,3,Wake Forest
46,John Konchar,John Konchar,SG,5-Jun,210,3/22/96,US,1,Purdue-Fort Wayne
1,John Wall,John Wall,PG,3-Jun,210,9/6/90,US,9,Kentucky
17,Jonas Valanciunas,Jonas Valanciunas,C,11-Jun,265,5/6/92,LT,8,
,Jonathan Isaac,Jonathan Isaac,PF,11-Jun,230,10/3/97,US,3,Florida State
4,Jontay Porter,Jontay Porter,PF,11-Jun,240,11/15/99,US,R,Missouri
20,Jordan Bell,Jordan Bell,C,8-Jun,216,1/7/95,US,3,Oregon
0,Jordan Clarkson,Jordan Clarkson,SG,4-Jun,194,6/7/92,US,6,"Tulsa, Missouri"
6,Jordan McLaughlin,Jordan McLaughlin,PG,11-May,185,4/9/96,US,1,USC
13,Jordan Nwora,Jordan Nwora,SF,8-Jun,225,9/9/98,US,R,Louisville
3,Jordan Poole,Jordan Poole,SG,4-Jun,194,6/19/99,US,1,Michigan
8,Josh Green,Josh Green,SG,5-Jun,200,11/16/00,AU,R,Arizona
15,Josh Hall,Josh Hall,SF,9-Jun,190,10/8/00,US,R,
3,Josh Hart,Josh Hart,SF,5-Jun,215,3/6/95,US,3,Villanova
20,Josh Jackson,Josh Jackson,SG,8-Jun,207,2/10/97,US,3,Kansas
20,Josh Okogie,Josh Okogie,SG,4-Jun,213,9/1/98,NG,2,Georgia Tech
21,Jrue Holiday,Jrue Holiday,PG,3-Jun,205,6/12/90,US,11,UCLA
41,Juan Hernangomez,Juan Hernangomez,PF,9-Jun,214,9/28/95,ES,4,
95,Juan Toscano-Anderson,Juan Anderson,SG,6-Jun,209,4/10/93,US,1,Marquette
30,Julius Randle,Julius Randle,PF,8-Jun,250,11/29/94,US,6,Kentucky
8,Justin Holiday,Justin Holiday,SG,6-Jun,180,4/5/89,US,7,Washington
44,Justin Jackson,Justin Jackson,SF,8-Jun,220,3/28/95,US,3,UNC
10,Justin James,Justin James,SF,7-Jun,190,1/24/97,US,1,Wyoming
7,Justise Winslow,Justise Winslow,SF,6-Jun,222,3/26/96,US,5,Duke
27,Jusuf Nurkić,Jusuf Nurkić,C,11-Jun,290,8/23/94,BA,6,
16,Juwan Morgan,Juwan Morgan,PF,7-Jun,232,4/17/97,US,1,Indiana
32,Karl-Anthony Towns,Karl-Anthony Towns,C,11-Jun,248,11/15/95,US,5,Kentucky
2,Kawhi Leonard,Kawhi Leonard,SF,7-Jun,225,6/29/91,US,9,San Diego State
31,Keita Bates-Diop,Keita Diop,SF,8-Jun,229,1/23/96,US,2,Ohio State
21,Kelan Martin,Kelan Martin,SF,5-Jun,230,8/3/95,US,1,Butler
3,Keldon Johnson,Keldon Johnson,SF,5-Jun,220,10/11/99,US,1,Kentucky
21,Keljin Blevins,Keljin Blevins,SF,4-Jun,200,11/24/95,US,R,"Southern Miss, Montana State"
41,Kelly Olynyk,Kelly Olynyk,PF,11-Jun,240,4/19/91,CA,7,Gonzaga
12,Kelly Oubre Jr.,Kelly Oubre Jr.,SF,7-Jun,203,12/9/95,US,5,Kansas
25,Kendrick Nunn,Kendrick Nunn,PG,2-Jun,190,8/3/95,US,1,"Illinois, Oakland"
34,Kenrich Williams,Kenrich Williams,PF,6-Jun,210,12/2/94,US,2,TCU
26,Kent Bazemore,Kent Bazemore,SF,4-Jun,195,7/1/89,US,8,Old Dominion
1,Kentavious Caldwell-Pope,Kentavious Pope,SG,5-Jun,204,2/18/93,US,7,Georgia
6,Kenyon Martin Jr.,Kenyon Martin Jr.,SF,6-Jun,215,1/6/01,US,R,
7,Kevin Durant,Kevin Durant,PF,10-Jun,240,9/29/88,US,12,Texas
3,Kevin Huerter,Kevin Huerter,SG,7-Jun,190,8/27/98,US,2,Maryland
20,Kevin Knox,Kevin Knox,SF,7-Jun,215,8/11/99,US,2,Kentucky
0,Kevin Love,Kevin Love,PF,8-Jun,251,9/7/88,US,12,UCLA
3,Kevin Porter Jr.,Kevin Porter Jr.,SG,4-Jun,203,5/4/00,US,1,USC
5,Kevon Looney,Kevon Looney,C,9-Jun,222,2/6/96,US,5,UCLA
24,Khem Birch,Khem Birch,C,9-Jun,233,9/28/92,CA,3,"Pitt, UNLV"
22,Khris Middleton,Khris Middleton,SF,7-Jun,222,8/12/91,US,8,Texas A&M
20,Khyri Thomas,Khyri Thomas,SG,3-Jun,210,5/8/96,US,2,Creighton
7,Killian Hayes,Killian Hayes,PG,5-Jun,195,7/27/01,US,R,
35,Killian Tillie,Killian Tillie,C,9-Jun,220,3/5/98,FR,R,Gonzaga
13,Kira Lewis Jr.,Kira Lewis Jr.,PG,1-Jun,170,4/6/01,US,R,Alabama
,Klay Thompson,Klay Thompson,SG,6-Jun,215,2/8/90,US,8,Washington State
37,Kostas Antetokounmpo,Kostas Antetokounmpo,PF,10-Jun,200,11/20/97,GR,2,Dayton
32,Kris Dunn,Kris Dunn,PG,3-Jun,205,3/18/94,US,4,Providence
6,Kristaps Porzingis,Kristaps Porzingis,C,3-Jul,240,8/2/95,LV,4,
1,Kyle Anderson,Kyle Anderson,PF,9-Jun,230,9/20/93,US,6,UCLA
7,Kyle Guy,Kyle Guy,PG,1-Jun,167,8/11/97,US,1,Virginia
0,Kyle Kuzma,Kyle Kuzma,SF,10-Jun,221,7/24/95,US,3,Utah
7,Kyle Lowry,Kyle Lowry,PG,Jun-00,196,3/25/86,US,14,Villanova
11,Kyrie Irving,Kyrie Irving,PG,2-Jun,195,3/23/92,AU,9,Duke
"4, 11",KZ Okpala,KZ Okpala,PF,8-Jun,215,4/28/99,US,1,Stanford
8,Lamar Stevens,Lamar Stevens,PF,6-Jun,230,7/9/97,US,R,Penn State
8,Lamar Stevens,Lamar Stevens,PF,6-Jun,230,7/9/97,US,R,Penn State
"13, 20",Landry Shamet,Landry Shamet,SG,4-Jun,190,3/13/97,US,2,Wichita State
2,Langston Galloway,Langston Galloway,SG,1-Jun,200,12/9/91,US,6,Saint Joseph's
22,Larry Nance Jr.,Larry Nance Jr.,PF,7-Jun,245,1/1/93,US,5,Wyoming
24,Lauri Markkanen,Lauri Markkanen,PF,Jul-00,240,5/22/97,FI,3,Arizona
23,LeBron James,LeBron James,PG,9-Jun,250,12/30/84,US,17,
1,Lonnie Walker,Lonnie Walker,SG,4-Jun,204,12/14/98,US,2,Miami (FL)
2,Lonzo Ball,Lonzo Ball,PG,6-Jun,190,10/27/97,US,3,UCLA
